URL,Lang,Material,RecordNumb,RepCategory,ValidityArea
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5355FC',RecordNumb='451248',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5355FC,451248,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5355FC',RecordNumb='451242',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5355FC,451242,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5355T',RecordNumb='360541',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5355T,360541,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5355T',RecordNumb='451244',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5355T,451244,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5355T',RecordNumb='451248',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5355T,451248,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5355T',RecordNumb='451242',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5355T,451242,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5356F',RecordNumb='449443',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5356F,449443,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5357E',RecordNumb='451070',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5357E,451070,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5357F',RecordNumb='451070',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5357F,451070,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362A',RecordNumb='450621',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5362A,450621,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362A',RecordNumb='451907',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5362A,451907,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362A',RecordNumb='450628',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5362A,450628,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362A',RecordNumb='450626',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5362A,450626,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362B',RecordNumb='450621',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5362B,450621,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362B',RecordNumb='451907',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5362B,451907,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362B',RecordNumb='450628',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5362B,450628,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362B',RecordNumb='450626',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5362B,450626,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362E',RecordNumb='450621',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5362E,450621,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362E',RecordNumb='451907',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5362E,451907,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362E',RecordNumb='450628',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5362E,450628,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362E',RecordNumb='450626',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5362E,450626,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362EC',RecordNumb='450621',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5362EC,450621,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362EC',RecordNumb='451907',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5362EC,451907,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362EC',RecordNumb='450628',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5362EC,450628,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5362EC',RecordNumb='450626',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5362EC,450626,MSDS,US
